CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Rule_Segment,KMeans_Cluster,PCA1,PCA2
12346,326,12,77556.46,2,5,5,255,12,At Risk (High Frequency),0,2.266512120120408,2.4322283862858463
12347,2,8,5633.32,5,4,5,545,14,Champions (Top Tier),0,2.36244165500127,-1.0748677085220673
12348,75,5,2019.4,3,4,4,344,11,Loyal Customers,2,0.5616052123467598,0.25242625980228744
12349,19,4,4428.69,5,3,5,535,13,Loyal Customers,3,1.1958930600217252,-0.3156473281366984
12350,310,1,334.4,2,1,2,212,5,Hibernating / Churned,1,-1.5133680518673496,0.08993306201269184
12351,375,1,300.93,2,1,2,212,5,Hibernating / Churned,1,-1.6204949836678586,0.16314739287056473
12352,36,10,2849.84,4,5,4,454,13,Champions (Top Tier),0,1.406529754225945,0.1803415405619842
12353,204,2,406.76,2,2,2,222,6,Hibernating / Churned,1,-0.984319313572378,0.06694511610276181
12354,232,1,1079.4,2,1,3,213,6,Need Attention,1,-0.9110081574753942,0.28083201333188895
12355,214,2,947.61,2,2,3,223,7,Need Attention,2,-0.6323562627797426,0.3459590847040974
12356,23,6,6373.68,4,4,5,445,13,Champions (Top Tier),0,1.5519349372500952,0.01703839724105117
12357,33,3,18287.66,4,3,5,435,12,Loyal Customers,0,1.4710388369684924,0.3198075301908096
12358,2,5,3887.07,5,4,5,545,14,Champions (Top Tier),0,1.8917830316939224,-1.334328983142632
12359,58,10,8935.94,4,5,5,455,14,Champions (Top Tier),0,1.752754815562097,0.7797383366382045
12360,52,8,4252.89,4,4,5,445,13,Champions (Top Tier),0,1.3113839700821033,0.42491040557126336
12361,287,4,511.25,2,3,2,232,7,Need Attention,2,-0.6053961163960261,0.5097200203628756
12362,3,11,5356.23,5,5,5,555,15,Champions (Top Tier),0,2.466872635962897,-0.8259875206549845
12363,110,2,552.0,3,2,2,322,7,Need Attention,1,-0.6533368707139787,-0.18022182963155983
12364,8,4,1313.1,5,3,4,534,12,Loyal Customers,3,0.9254213864721204,-1.1198327735537548
12365,291,2,641.38,2,2,3,223,7,Need Attention,1,-0.9009734765659648,0.39811001014513775
12366,634,1,500.24,1,1,2,112,4,Hibernating / Churned,1,-1.5694314388915376,0.6039211281296463
12367,4,1,168.9,5,1,1,511,7,New / Promising,3,-0.47342622599363543,-2.3918007578605014
12368,628,1,917.7,1,1,3,113,5,Need Attention,1,-1.302742019013602,0.7800513647451883
12369,413,3,1791.15,1,3,4,134,8,Need Attention,2,-0.34805483812523985,1.003095740196578
12370,51,7,4320.31,4,4,5,445,13,Champions (Top Tier),2,1.234552739147939,0.37599856679711724
12371,45,5,4067.38,4,4,5,445,13,Champions (Top Tier),2,1.0285458825256106,0.18501937926940817
12372,72,3,1298.04,3,3,4,334,10,Loyal Customers,2,0.07320750782150094,-0.05041427439294089
12373,311,3,1127.65,2,3,3,233,8,Need Attention,2,-0.45775949245229675,0.7086634802616353
12374,25,4,2989.22,4,3,5,435,12,Loyal Customers,3,0.9400491354255956,-0.28857544880431585
12375,11,2,457.5,5,2,2,522,9,New / Promising,3,-0.015374282723184068,-1.4633349675394118
12376,390,2,503.15,2,2,2,222,6,Hibernating / Churned,1,-1.1008273635098267,0.48660682184970205
12377,315,4,3426.32,2,3,5,235,10,Need Attention,2,0.19160862909565193,1.1298695978236069
12378,130,2,5416.32,3,2,5,325,10,Need Attention,2,0.28599047174186687,0.5942626727972942
12379,82,4,1620.22,3,3,4,334,10,Loyal Customers,2,0.29827758909553703,0.16839551708261433
12380,22,11,9676.3,4,5,5,455,14,Champions (Top Tier),0,2.1584296535327394,0.3158179071593684
12381,5,5,1845.31,5,4,4,544,13,Champions (Top Tier),3,1.3435686253725727,-1.1749465219090878
12383,185,5,1850.56,3,4,4,344,11,Loyal Customers,2,0.23416470664118685,0.7199578762509654
12384,29,2,585.27,4,2,2,422,8,New / Promising,3,-0.2047686611015391,-0.8843589989153168
12385,379,1,1938.4,2,1,4,214,7,Cant Lose Them (High Spend),2,-0.8146493826190573,0.7257507641260492
12386,338,2,660.8,2,2,3,223,7,Need Attention,1,-0.9362846694959429,0.48934404987637575
12387,415,1,143.94,1,1,1,111,3,Hibernating / Churned,1,-1.972504683582758,-0.0007751306144086818
12388,16,8,3901.11,5,4,5,545,14,Champions (Top Tier),0,1.6415876090323358,-0.22809666164787826
12389,403,3,1433.33,2,3,4,234,9,Need Attention,2,-0.43705245795473946,0.922939491066331
12390,80,1,549.84,3,1,2,312,6,Need Attention,1,-0.8623850444200565,-0.5035943848673906
12391,22,6,2773.42,4,4,4,444,12,Champions (Top Tier),0,1.2037395894889578,-0.25546009279755894
12392,591,1,234.75,1,1,1,111,3,Hibernating / Churned,1,-1.8749585612635478,0.33944534450139396
12393,72,6,2399.45,3,4,4,344,11,Loyal Customers,2,0.7671974097320878,0.3382329422844536
12394,64,2,1272.48,3,2,4,324,9,Need Attention,3,-0.11731508269844328,-0.22568565273398655
12395,19,15,5067.27,5,5,5,555,15,Champions (Top Tier),0,2.14163053698844,0.15041987100739238
12396,674,1,931.43,1,1,3,113,5,Need Attention,1,-1.319115320830174,0.8234219979206838
12397,36,2,2409.9,4,2,4,424,10,New / Promising,3,0.3426295378447754,-0.3454164028430591
12398,46,1,1635.66,4,1,4,414,9,New / Promising,3,-0.21252865804130017,-0.47783083279586486
12399,119,7,1962.3,3,4,4,344,11,Loyal Customers,2,0.6208207340314479,0.6010763824744128
12400,414,1,205.25,1,1,1,111,3,Hibernating / Churned,1,-1.818234753334324,0.1034977214223738
12401,303,1,84.3,2,1,1,211,4,Hibernating / Churned,1,-2.1017285703002693,-0.33247382554385446
12402,323,6,1256.9,2,4,4,244,10,At Risk (High Frequency),2,0.004031245803765464,0.9667742929227967
12403,50,2,1019.36,4,2,3,423,9,New / Promising,3,-0.13528269022103034,-0.42580785386964115
12404,682,1,63.24,1,1,1,111,3,Hibernating / Churned,1,-2.48690421717228,0.029117624754767212
12405,149,1,1710.39,3,1,4,314,8,Need Attention,2,-0.5684333938680179,0.1756145884003166
12406,22,5,6390.36,4,4,5,445,13,Champions (Top Tier),0,1.4492651864898465,-0.062078171386580165
12407,50,5,1708.12,4,4,4,444,12,Champions (Top Tier),2,0.6178218079500298,-0.01768156499893386
12408,33,8,4340.77,4,4,5,445,13,Champions (Top Tier),0,1.4638598740187463,0.18617615147196018
12409,79,7,23419.29,3,4,5,345,12,Loyal Customers,0,1.8305727058948573,1.119511039509034
12410,309,3,1013.71,2,3,3,233,8,Need Attention,2,-0.5019831489183033,0.6732601528690797
12411,410,1,346.9,2,1,2,212,5,Hibernating / Churned,1,-1.5876181899188357,0.2546619843997678
12412,75,6,2596.93,3,4,4,344,11,Loyal Customers,2,0.7885706370819746,0.3841124504729629
12413,67,4,999.45,3,3,3,333,9,Loyal Customers,2,0.1527092617298279,-0.08605218907779094
12414,217,6,952.41,2,4,3,243,9,At Risk (High Frequency),2,0.011597164958342574,0.6652538510877558
12415,24,28,144458.37,4,5,5,455,14,Champions (Top Tier),0,3.980647088405359,1.4939923545237612
12416,657,1,202.56,1,1,1,111,3,Hibernating / Churned,1,-1.9730223085394265,0.3537969955066751
12417,3,20,6816.91,5,5,5,555,15,Champions (Top Tier),0,2.998601209883646,-0.5489741364252645
12418,113,4,2021.2,3,3,4,334,10,Loyal Customers,2,0.29179716036619596,0.4095955758223703
12419,386,2,503.01,2,2,2,222,6,Hibernating / Churned,1,-1.0976224642915946,0.4808520518014938
12420,64,1,600.39,3,1,2,312,6,Need Attention,3,-0.7530095249022568,-0.598689576011455
12421,16,6,1098.6,5,4,3,543,12,Loyal Customers,3,0.8988176120434506,-0.6992305507005258
12422,96,17,5231.8,3,5,5,355,13,Loyal Customers,0,1.7346824859160024,1.0739993667594911
12423,1,10,2622.39,5,5,4,554,14,Champions (Top Tier),0,2.314034163339574,-1.4538774289548826
12424,163,4,3340.03,3,3,5,335,11,Loyal Customers,2,0.39264071084423385,0.7604807185540935
12425,78,2,1741.41,3,2,4,324,9,Need Attention,2,-0.04399041938754677,-0.02424780696147261
12426,195,2,1345.21,2,2,4,224,8,Cant Lose Them (High Spend),2,-0.4501230964431606,0.3997133481284402
12427,22,3,1129.3,4,3,3,433,10,Loyal Customers,3,0.3862112983395904,-0.7291002280957187
12428,26,9,7956.46,4,5,5,455,14,Champions (Top Tier),0,1.8823747299349498,0.2789464813310895
